super_5,unsuper_5,super_10,unsuper_10,super_15,unsuper_15,super_20,unsuper_20
6345005,3969,3145209,3887,1964046,3191,1522927,2556
1215321,2930,669698,2361,488476,2427,379939,2212
1033319578,471448,514424653,329937,385284771,245021,367653907,224830
110006618,450106,47211170,375744,31592504,269017,25822726,286614
10941907,4321,3267602,2018,1857137,1967,1723906,1975
2857107,2169,1091106,1981,686942,1858,544302,1959
7210612,601,6152830,468,5826292,433,5720197,395
201655,43,45861,46,32038,47,29193,47
5608382259,5052725,2880347571,4080677,1994287360,3125589,2913807130,2801976
16056532582,11560991,10741204685,9989688,6028516710,6180114,5419177216,6019254
28062684365,12502188,24830800691,11732981,21269199053,11440488,18093351834,11231565
9716647834,3444718,8431537664,3020665,8399524659,2830104,8463565824,2702657
