dataset,layer,error
1.1,5.0,45941.03125
1.2,5.0,8332.5693359375
2.1,5.0,898639.4375
2.2,5.0,1221695.125
3.1,5.0,12382.80078125
3.2,5.0,8719.4267578125
4.1,5.0,511.8150329589844
4.2,5.0,118.3446044921875
5.1,5.0,7928834.0
5.2,5.0,33763384.0
6.1,5.0,13411094.0
6.2,5.0,6882172.0
7.1,5.0,3476.413818359375
7.2,5.0,1116.8707275390625
1.1,10.0,41728.16015625
1.2,10.0,7937.93798828125
2.1,10.0,526277.8125
2.2,10.0,890208.1875
3.1,10.0,6484.3984375
3.2,10.0,6454.9326171875
4.1,10.0,423.3254699707031
4.2,10.0,54.439998626708984
5.1,10.0,26415670.0
5.2,10.0,11693479.0
6.1,10.0,16313332.0
6.2,10.0,4774936.5
7.1,10.0,1133.77001953125
7.2,10.0,541.5496215820312
1.1,15.0,8039.93798828125
1.2,15.0,5880.123046875
2.1,15.0,3335214.0
2.2,15.0,637483.0
3.1,15.0,5577.43798828125
3.2,15.0,4999.60888671875
4.1,15.0,299.4162902832031
4.2,15.0,62.874542236328125
5.1,15.0,7405892.0
5.2,15.0,17474550.0
6.1,15.0,41944544.0
6.2,15.0,11457554.0
7.1,15.0,1743.1553955078125
7.2,15.0,453.1259460449219
1.1,20.0,7243.88037109375
1.2,20.0,5410.50390625
2.1,20.0,634092.5625
2.2,20.0,573647.1875
3.1,20.0,5129.94921875
3.2,20.0,6243.6806640625
4.1,20.0,361.9375305175781
4.2,20.0,68.97377014160156
5.1,20.0,5724104.0
5.2,20.0,20415604.0
6.1,20.0,7105963.5
6.2,20.0,5716988.5
7.1,20.0,1891.2469482421875
7.2,20.0,468.5570983886719
