super_error_5,super_error_10,super_error_15,super_error_20,unsuper_error_5,unsuper_error_10,unsuper_error_15,unsuper_error_20
388847.68472906406,336822.97536945814,254393.14285714287,220418.50246305417,6403.853515625,7102.5615234375,5081.27197265625,4640.7998046875
130132.64285714286,98641.6530612245,78094.25,69067.2193877551,2584.234375,2318.378173828125,2903.943359375,2487.9423828125
68254858.78388278,86840503.79487179,104215338.1978022,103731290.02197802,311680.25,297421.59375,263280.9375,230251.390625
13352760.785454545,10145007.243636364,7896222.254545455,7647544.785454545,454165.75,381366.28125,367453.15625,287498.9375
782249.8585858586,646460.9292929292,498796.1212121212,522780.3232323232,3429.85693359375,3111.794921875,2645.68896484375,2353.669677734375
224067.97894736842,120184.13684210526,106126.81052631579,86977.61578947368,2127.672119140625,2290.82568359375,1847.0052490234375,1614.2183837890625
217844.67039106146,174993.51955307263,129199.54189944133,128445.6312849162,327.6036071777344,475.5489196777344,372.8052978515625,339.24505615234375
10474.713567839195,4283.154522613066,3197.209484924623,4167.666457286432,44.69656753540039,49.64924621582031,50.68241500854492,50.967220306396484
392560034.67980295,243609519.29064038,174426969.53694582,153910650.32512316,16840826.0,14848897.0,13674084.0,12882320.0
909451520.0,598933205.3333334,24211723605.333332,24198103040.0,20071862.0,19554916.0,18065886.0,6375526.5
548330306.3703704,497164136.2962963,450879981.037037,433562472.2962963,6505954.0,6157540.0,6010159.0,5865552.0
3820151544.082474,3286144622.8453608,4332508951.752578,4332185663.340206,2577096.25,2289190.0,2157569.75,2072848.875
11710.525510204081,1614.533163265306,1264.6234853316328,927.8226243622449,1407.0084228515625,1470.9449462890625,1411.911376953125,680.5742797851562
18707.27712264151,4173.655365566037,1768.8010023584907,1470.6076061320755,778.0994262695312,859.2675170898438,864.737548828125,744.472900390625
